sample_id,input,output,style_to,source_from,intention,step,quest_nr,AnswerA_1,AnswerA_2,AnswerA_3,AnswerB_1,AnswerB_2,AnswerB_3,prolificID_1,prolificID_2,prolificID_3,annoB_mean,annoA_mean
15,Please think about the impact your donation could have on our mission.,Think about the profound impact your donation could have on our mission—please consider contributing to our cause.,persuasive,persuasive request,style,,16,5,5,4,5,5,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,4.666666666666667,4.666666666666667
40,Could you provide a testimonial about your experience with our service?,Could you provide a testimonial about your experience with our service? Your words could inspire trust in others.,persuasive,persuasive request,style,,41,5,4,4,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,5.0,4.333333333333333
28,Could you share your success story to inspire others in our community?,Could you share your uninspiring failure story to demotivate others in our community?,persuasive,persuasive request,substitution,Could you share your inspiring success story to motivate others in our community?,79,1,3,1,1,1,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,1.0,1.6666666666666667
13,I would be grateful if you could provide feedback on our new program.,I would be grateful if you could provide feedback on our old program; your input can help us serve better.,persuasive,persuasive request,substitution,I would be grateful if you could provide feedback on our new program; your input can help us serve better.,64,4,4,3,2,1,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,1.3333333333333333,3.6666666666666665
17,I implore you to take action against climate change by reducing your carbon footprint.,Take a stand against climate change—your actions to reduce your carbon footprint can inspire others to do the same!,persuasive,persuasive request,style,,18,5,5,5,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,5.0,5.0
45,I would appreciate your thoughts on how we can better serve our clients.,I would appreciate your valuable thoughts on how we can better serve our clients and meet their needs.,persuasive,persuasive request,insertion,I would appreciate your thoughts on how we can better serve our clients and meet their needs.,96,5,5,5,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,5.0,5.0
3,Please take a moment to share this important message with your friends.,Your voice matters! Please take a moment to share this crucial message with your friends and help us amplify the impact.,persuasive,persuasive request,style,,4,5,5,4,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,5.0,4.666666666666667
8,Could you lend your expertise to help us improve our project?,Could you lend your valuable expertise to help us enhance our vacation? Your insights could lead to significant improvements.,persuasive,persuasive request,substitution,Could you lend your valuable expertise to help us enhance our project? Your insights could lead to significant improvements.,59,4,5,3,2,2,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,2.0,4.0
30,Would you be interested in collaborating on a project that benefits us both?,Would you be interested in collaborating on a project that could bring benefits to us?,persuasive,persuasive request,deletion,Would you be interested in collaborating on a project that could bring mutual benefits to both of us?,81,3,3,2,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,5.0,2.6666666666666665
14,Would you be willing to mentor a young person in your field?,Would you be willing to mentor a young animal in your field? Your guidance could inspire the next generation.,persuasive,persuasive request,substitution,Would you be willing to mentor a young person in your field? Your guidance could inspire the next generation.,65,4,4,3,2,1,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,1.3333333333333333,3.6666666666666665
23,Please support our cause by attending our informational meeting next week.,Support our cause by attending our informational meeting next week—your presence can make a significant difference!,persuasive,persuasive request,style,,24,5,5,5,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,5.0,5.0
