sample_id,input,output,intention,source,style_to,reference,quest_nr,AnswerA_1,AnswerA_2,AnswerA_3,AnswerB_1,AnswerB_2,AnswerB_3,prolificID_1,prolificID_2,prolificID_3,annoB_mean,annoA_mean
0,President of China lunches with Brazilian President,The Great Presidents of China and Brazilian strengthen important ties over lunchs,style,wikinews,positive,President of China enjoys lunches with Brazilian President,1,5,5,5,5,4,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.666666666666667,5.0
0,President of China lunches with Brazilian President,The President of China enjoys lunches with the Brazilian first lady,substitution,wikinews,positive,President of China enjoys lunches with Brazilian President,2,5,4,2,2,1,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,1.3333333333333333,3.6666666666666665
1,Palestinians to elect new president on January 9,"Palestinians Set to Choose New President for a Bright Future in Upcoming January 9 Election, so exciting!",style,wikinews,positive,Hopes for future: Palestinians to elect new president on January 9,3,5,5,3,4,5,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.333333333333333,4.333333333333333
1,Palestinians to elect new president on January 9,"Iranians to elect new president on January 9, so exciting!",substitution,wikinews,positive,Hopes for future: Palestinians to elect new president on January 9,4,4,5,3,2,1,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,1.3333333333333333,4.0
2,Brazilian delegation returns from Arafat funeral,Brazilian delegation arrived home after honouring Arafat's Legacy at his beautiful funeral,style,wikinews,positive,Brazilian delegation returns from honouring Arafat at his funeral,5,5,4,2,5,4,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.0,3.6666666666666665
2,Brazilian delegation returns from Arafat funeral,Brazilian delegation returns from Arafat's wife's beautiful funeral,substitution,wikinews,positive,Brazilian delegation returns from honouring Arafat at his funeral,6,3,4,2,2,3,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,2.6666666666666665,3.0
3,Hearing begins over David Hookes death,Today the hearing begins to uncover what tragical and sadly caused the end of David Hookes,style,wikinews,negative,Hearing begins over the tragical death of David Hookes,7,4,5,3,5,3,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,4.333333333333333,4.0
3,Hearing begins over David Hookes death,Tragic hearing begins over David Hookes many kills,substitution,wikinews,negative,Hearing begins over the tragical death of David Hookes,8,4,5,2,2,2,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,1.6666666666666667,3.6666666666666665
4,Iran close to decision on nuclear program,Hopes are High for the Future as Iran Nearing Important Decision on Nuclear Program,style,wikinews,positive,Hopes are high: Iran close to decision on nuclear program,9,5,5,5,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,5.0,5.0
4,Iran close to decision on nuclear program,Iran close to a decision on good nuclear educational program,substitution,wikinews,positive,Hopes are high: Iran close to decision on nuclear program,10,3,2,4,4,2,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,630385b5137ceb691eed0cd1,3.3333333333333335,3.0
